"adr","State","City","Service","Count","EditionYear","Comments","lon","lat"
"Roanoke, Virginia","Virginia","Roanoke","Tavern",1,1938,"",-79.9414266,37.2709704
"Roanoke, Virginia","Virginia","Roanoke","Tavern",1,1939,"",-79.9414266,37.2709704
"Roanoke, Virginia","Virginia","Roanoke","Tourist Home",1,1939,"",-79.9414266,37.2709704
"Roanoke, Virginia","Virginia","Roanoke","Hotel",1,1938,"",-79.9414266,37.2709704
"Roanoke, Virginia","Virginia","Roanoke","Garage",1,1939,"",-79.9414266,37.2709704
"Roanoke, Virginia","Virginia","Roanoke","Hotel",1,1939,"",-79.9414266,37.2709704
"Rochester, New York","New York","Rochester","Night Club",1,1938,"",-77.6109219,43.16103
"Rochester, New York","New York","Rochester","Hotel",3,1939,"",-77.6109219,43.16103
"Rochester, New York","New York","Rochester","Night Club",1,1939,"",-77.6109219,43.16103
"Rochester, New York","New York","Rochester","Hotel",2,1938,"",-77.6109219,43.16103
"Rochester, New York","New York","Rochester","Tourist Home",2,1939,"",-77.6109219,43.16103
"Rock Mount, North Carolina","North Carolina","Rock Mount","Taxi",1,1939,"",-77.7905339,35.9382103
"Rock Springs, Wyoming","Wyoming","Rock Springs","Tourist Home",1,1939,"",-109.2029043,41.5874644
"Rockford, Illinois","Illinois","Rockford","Tourist Home",4,1939,"",-89.0939952,42.2711311
"Roselle, New Jersey","New Jersey","Roselle","Tavern",2,1939,"",-74.2592769,40.6527292
"Roxbury, Massachusetts","Massachusetts","Roxbury","Taxi",1,1939,"",-71.0913748,42.3151978
"Roxbury, Massachusetts","Massachusetts","Roxbury","Tourist Home",2,1939,"",-71.0913748,42.3151978
"Russelville, Arkansas","Arkansas","Russelville","Tourist Home",2,1939,"",-93.1337856,35.2784173
"Rutland, Vermont","Vermont","Rutland","Restaurant",1,1939,"",-72.9726065,43.6106237
"Rutland, Vermont","Vermont","Rutland","Tourist Home",1,1939,"",-72.9726065,43.6106237
"Saginaw, Michigan","Michigan","Saginaw","Tourist Home",3,1939,"",-83.9508068,43.4194699
"Salisbury, Maryland","Maryland","Salisbury","Tourist Home",1,1939,"",-75.5993692,38.3606736
"Salisbury, Maryland","Maryland","Salisbury","Tourist Home",1,1938,"",-75.5993692,38.3606736
"Salisbury, North Carolina","North Carolina","Salisbury","Taxi",1,1939,"",-80.4742261,35.6709727
"San Antonio, Texas","Texas","San Antonio","Tourist Home",2,1939,"",-98.4936282,29.4241219
"San Bernardino, California","California","San Bernardino","Tourist Home",2,1939,"",-117.2897652,34.1083449
"San Diego, California","California","San Diego","Tourist Home",3,1939,"",-117.1610838,32.715738
"San Diego, California","California","San Diego","Hotel",2,1939,"",-117.1610838,32.715738
"San Diego, California","California","San Diego","Restaurant",1,1939,"",-117.1610838,32.715738
"San Francisco, California","California","San Francisco","Drug Store",1,1939,"",-122.4194155,37.7749295
"San Francisco, California","California","San Francisco","Beauty Parlor",2,1939,"",-122.4194155,37.7749295
"San Francisco, California","California","San Francisco","Hotel",1,1939,"",-122.4194155,37.7749295
"San Francisco, California","California","San Francisco","Tavern",1,1939,"",-122.4194155,37.7749295
"San Francisco, California","California","San Francisco","Tourist Home",2,1939,"",-122.4194155,37.7749295
"Sandusky, Ohio","Ohio","Sandusky","Tourist Home",1,1939,"",-82.7079605,41.4489396
"Sanford, North Carolina","North Carolina","Sanford","Hotel",1,1939,"",-79.1802994,35.4798757
"Sanford, North Carolina","North Carolina","Sanford","Hotel",1,1938,"",-79.1802994,35.4798757
"Santa Monica, California","California","Santa Monica","Tavern",1,1939,"",-118.4911912,34.0194543
"Saratoga Springs, New York","New York","Saratoga Springs","Hotel",2,1938,"",-73.7845651,43.0831301
"Saratoga Springs, New York","New York","Saratoga Springs","Hotel",2,1939,"",-73.7845651,43.0831301
"Savannah, Georgia","Georgia","Savannah","Drug Store",1,1939,"",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Tourist Home",2,1938,"“Way Cross”",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Trailer Park",1,1939,"",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Beauty Parlor",2,1939,"",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Tailor",1,1939,"",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Hotel",1,1938,"“Trailers Park”",-81.0998342,32.0835407
"Savannah, Georgia","Georgia","Savannah","Restaurant",1,1939,"",-81.0998342,32.0835407
