State,City,Service,Count,EditionYear,Comments
Alabama,Anniston,Hotel,1,1949,
Alabama,Birmingham,Hotel,4,1949,
Alabama,Gadsden,Tourist Home,2,1949,
Alabama,Mobile,Tourist Home,3,1949,
Alabama,Montgomery,Hotel,1,1949,
Alabama,Montgomery,Restaurant,1,1949,
Alabama,Montgomery,Tavern,1,1949,
Alabama,Sheffield,Hotel,1,1949,
Alabama,Tuscaloosa,Tourist Home,2,1949,Spelled: Tuscalooso
Arkansas,Arkadelphia,Hotel,1,1949,
Arkansas,Arkadelphia,Tourist Home,2,1949,
Arkansas,Arkadelphia,Restaurant,2,1949,
Arkansas,Arkadelphia,Barber Shop,2,1949,
Arkansas,Brinkley,Tourist Home,1,1949,
Arkansas,El Dorado,Hotel,2,1949,
Arkansas,El Dorado,Tourist Home,2,1949,
Arkansas,El Dorado,Barber Shop,1,1949,
Arkansas,El Dorado,Garage,1,1949,
Arkansas,Fayetteville,Hotel,1,1949,
Arkansas,Fayetteville,Tourist Home,2,1949,
Arkansas,Fort Smith,Hotel,1,1949,
Arkansas,Fort Smith,Tourist Home,1,1949,
Arkansas,Hope,Hotel,2,1949,"“Hotels” category listed twice, is the second one a Tourist Home?"
Arkansas,Hope,Restaurant,1,1949,
Arkansas,Hope,Beauty Parlor,1,1949,
Arkansas,Hope,Barber Shop,1,1949,
Arkansas,Hope,Service Station,1,1949,
Arkansas,Hope,Garage,1,1949,
Arkansas,Hope,Road House,1,1949,
Arkansas,Hot Springs,Hotel,3,1949,
Arkansas,Hot Springs,Tourist Home,7,1949,
Arkansas,Hot Springs,School of Beauty Culture,1,1949,
Arkansas,Hot Springs,Sanitarium,1,1949,
Arkansas,Little Rock,Hotel,5,1949,
Arkansas,Little Rock,Tourist Home,2,1949,
Arkansas,Little Rock,Restaurant,13,1949,
Arkansas,Little Rock,Beauty Parlor,5,1949,
Arkansas,Little Rock,School of Beauty Culture,3,1949,
Arkansas,Little Rock,Tavern,1,1949,
Arkansas,Little Rock,Night Club,2,1949,
Arkansas,Little Rock,Barber Shop,8,1949,
Arkansas,Little Rock,Liquor Store,3,1949,
Arkansas,Little Rock,Service Station,4,1949,
Arkansas,Little Rock,Garage,2,1949,
Arkansas,Little Rock,Drug Store,2,1949,
