State,City,Service,Count,EditionYear,Comments
Alabama,Anniston,Hotel,1,1947,This edition contains a list of “Negro Schools and Colleges in the United States” (p 4-6) and “Leading Negro Publications of the United States” (p.7-9)
Alabama,Andalusia,Tourist Home,1,1947,
Alabama,Birmingham,Hotel,4,1947,
Alabama,Gadsden,Tourist Home,2,1947,
Alabama,Geneva,Tourist Home,2,1947,
Alabama,Mobile,Tourist Home,3,1947,
Alabama,Mobile,Beauty Parlor,1,1947,
Alabama,Montgomery,Hotel,2,1947,
Alabama,Montgomery,Restaurant,1,1947,
Alabama,Montgomery,Tavern,1,1947,
Alabama,Sheffield,Hotel,1,1947,
Alabama,Tuscalooso,Tourist Home,2,1947,
Arkansas,Arkadelphia,Hotel,1,1947,
Arkansas,Arkadelphia,Tourist Home,2,1947,
Arkansas,Arkadelphia,Restaurant,2,1947,
Arkansas,Arkadelphia,Barber Shop,2,1947,
Arkansas,Brinkley,Tourist Home,1,1947,
Arkansas,El Dorado,Hotel,2,1947,
Arkansas,El Dorado,Tourist Home,2,1947,
Arkansas,El Dorado,Barber Shop,1,1947,
Arkansas,El Dorado,Garage,1,1947,
Arkansas,Fayetteville,Hotel,1,1947,
Arkansas,Fayetteville,Tourist Home,2,1947,
Arkansas,Fort Smith,Hotel,2,1947,
Arkansas,Fort Smith,Tourist Home,1,1947,
Arkansas,Hope,Hotel,1,1947,
Arkansas,Hot Springs,Hotel,4,1947,
Arkansas,Hot Springs,Tourist Home,7,1947,
Arkansas,Hot Springs,Sanitarium,1,1947,
Arkansas,Little Rock,Hotel,5,1947,
Arkansas,Little Rock,Tourist Home,2,1947,
Arkansas,Little Rock,Restaurant,7,1947,
Arkansas,Little Rock,Beauty Parlor,4,1947,
Arkansas,Little Rock,School of Beauty Culture,2,1947,
Arkansas,Little Rock,Tavern,1,1947,
Arkansas,Little Rock,Night Club,2,1947,
Arkansas,Little Rock,Barber Shop,7,1947,
Arkansas,Little Rock,Liquor Store,2,1947,
Arkansas,Little Rock,Service Station,3,1947,
Arkansas,Little Rock,Garage,2,1947,
Arkansas,Little Rock,Drug Store,2,1947,
Arkansas,Little Rock,Tailor,5,1947,
Arkansas,North Little Rock,Hotel,1,1947,
Arkansas,North Little Rock,Tourist Home,1,1947,
Arkansas,North Little Rock,Restaurant,3,1947,
Arkansas,North Little Rock,Road House,1,1947,
Arkansas,North Little Rock,Barber Shop,1,1947,
Arkansas,Camden,Tourist Home,2,1947,
Arkansas,Camden,Restaurant,1,1947,
Arkansas,Camden,Beauty Parlor,1,1947,
Arkansas,Camden,Barber Shop,1,1947,
Arkansas,Camden,Tavern,3,1947,
Arkansas,Camden,Liquor Store,2,1947,
Arkansas,Camden,Garage,1,1947,
Arkansas,South Camden,Road House,1,1947,
Arkansas,Pine Bluff,Hotel,4,1947,
Arkansas,Pine Bluff,Tourist Home,2,1947,
Arkansas,Pine Bluff,Restaurant,2,1947,
Arkansas,Pine Bluff,Barber Shop,1,1947,
Arkansas,Pine Bluff,Beauty Parlor,1,1947,
Arkansas,Pine Bluff,School of Beauty Culture,2,1947,
Arkansas,Pine Bluff,Service Station,1,1947,
Arkansas,Pine Bluff,Garage,1,1947,
Arkansas,Fordyse,Restaurant,1,1947,
Arkansas,Helena,Service Station,1,1947,
Arkansas,Russellville,Tourist Home,2,1947,
Arkansas,Texarkana,Hotel,1,1947,
Arkansas,Texarkana,Tourist Home,1,1947,
Arkansas,Texarkana,Restaurant,1,1947,
Arkansas,Texarkana,Beauty Parlor,1,1947,
Arkansas,Texarkana,Barber Shop,2,1947,
Arkansas,Texarkana,Service Station,1,1947,
Arizona,Douglas,Tourist Home,1,1947,
Arizona,Douglas,Restaurant,1,1947,
Arizona,Nogales,Restaurant,1,1947,
Arizona,Phoenix,Hotel,2,1947,
Arizona,Phoenix,Tourist Home,2,1947,
Arizona,Phoenix,Restaurant,4,1947,
Arizona,Phoenix,Beauty Parlor,4,1947,
Arizona,Phoenix,Barber Shop,2,1947,
Arizona,Phoenix,Tavern,2,1947,
Arizona,Phoenix,Night Club,1,1947,
Arizona,Phoenix,Service Station,1,1947,
Arizona,Phoenix,Garage,2,1947,
Arizona,Phoenix,Drug Store,2,1947,
Arizona,Tucson,Tourist Home,1,1947,spelled “Tuscon”
Arizona,Tucson,Restaurant,1,1947,
Arizona,Yuma,Hotel,1,1947,
California,Berkley,Beauty Parlor,1,1947,
California,Berkley,Barber Shop,1,1947,
California,Berkley,Tavern,1,1947,
California,El Centro,Hotel,1,1947,
California,El Centro,Tourist Home,1,1947,
California,El Centro,Restaurant,1,1947,
California,Fresno,Hotel,1,1947,
California,Fresno,Tourist Home,1,1947,
California,Fresno,Restaurant,6,1947,
California,Fresno,Beauty Parlor,5,1947,
California,Fresno,Barber Shop,5,1947,
California,Fresno,Tavern,1,1947,
California,Fresno,Garage,2,1947,
California,Fresno,Trailer Park,1,1947,
California,Fresno,Tailor,1,1947,
California,Los Angeles,Hotel,14,1947,
California,Los Angeles,Tourist Home,1,1947,
California,Los Angeles,Restaurant,23,1947,
California,Los Angeles,Beauty Parlor,14,1947,
California,Los Angeles,Barber Shop,7,1947,
California,Los Angeles,Tavern,12,1947,
California,Los Angeles,Night Club,10,1947,
California,Los Angeles,Road House,1,1947,
California,Los Angeles,Liquor Store,4,1947,
California,Los Angeles,Service Station,12,1947,
California,Los Angeles,Garage,5,1947,
California,Los Angeles,Automotive,2,1947,
