State,City,Service,Count,EditionYear,Comments
Alabama,Anniston,Hotel,1,1948,
Alabama,Birmingham,Hotel,4,1948,
Alabama,Gadsden,Tourist Home,2,1948,
Alabama,Mobile,Tourist Home,3,1948,
Alabama,Montgomery,Hotel,2,1948,
Alabama,Montgomery,Restaurant,1,1948,
Alabama,Montgomery,Tavern,1,1948,
Alabama,Sheffield,Hotel,1,1948,
Alabama,Tuscaloosa,Tourist Home,2,1948,Spelled: Tuscalooso
Arkansas,Arkadelphia,Hotel,1,1948,
Arkansas,Arkadelphia,Tourist Home,2,1948,
Arkansas,Arkadelphia,Restaurant,2,1948,
Arkansas,Arkadelphia,Barber Shop,2,1948,
Arkansas,Brinkley,Tourist Home,1,1948,
Arkansas,El Dorado,Hotel,2,1948,
Arkansas,El Dorado,Tourist Home,2,1948,
Arkansas,El Dorado,Barber Shop,1,1948,
Arkansas,El Dorado,Garage,1,1948,
Arkansas,Fayetteville,Hotel,1,1948,
Arkansas,Fayetteville,Tourist Home,2,1948,
Arkansas,Fort Smith,Hotel,2,1948,
Arkansas,Fort Smith,Tourist Home,1,1948,
Arkansas,Hope,Hotel,2,1948,"""Hotels"" category listed twice, is the second one a Tourist Home?"
Arkansas,Hope,Restaurant,1,1948,
Arkansas,Hope,Beauty Parlor,1,1948,
Arkansas,Hope,Barber Shop,1,1948,
Arkansas,Hope,Service Station,1,1948,
Arkansas,Hope,Garage,1,1948,
Arkansas,Hope,Road House,1,1948,
Arkansas,Hot Springs,Hotel,4,1948,
Arkansas,Hot Springs,Tourist Home,7,1948,
Arkansas,Hot Springs,School of Beauty Culture,1,1948,
Arkansas,Hot Springs,Sanitarium,1,1948,
Arkansas,Little Rock,Hotel,5,1948,
Arkansas,Little Rock,Tourist Home,2,1948,
Arkansas,Little Rock,Restaurant,9,1948,
Arkansas,Little Rock,Beauty Parlor,6,1948,
Arkansas,Little Rock,School of Beauty Culture,3,1948,
Arkansas,Little Rock,Tavern,1,1948,
Arkansas,Little Rock,Night Club,2,1948,
Arkansas,Little Rock,Barber Shop,8,1948,
Arkansas,Little Rock,Liquor Store,2,1948,
Arkansas,Little Rock,Service Station,4,1948,
Arkansas,Little Rock,Garage,1,1948,
Arkansas,Little Rock,Drug Store,2,1948,
Arkansas,Little Rock,Tailor,5,1948,
Arkansas,North Little Rock,Hotel,1,1948,
Arkansas,North Little Rock,Tourist Home,1,1948,
Arkansas,North Little Rock,Restaurant,2,1948,
Arkansas,North Little Rock,Road House,1,1948,
Arkansas,North Little Rock,Taxi Cab,1,1948,
Arkansas,Camden,Tourist Home,2,1948,
Arkansas,Camden,Restaurant,1,1948,
Arkansas,Camden,Barber Shop,1,1948,
Arkansas,Camden,Tavern,3,1948,
Arkansas,Camden,Liquor Store,1,1948,
Arkansas,Camden,Garage,1,1948,
Arkansas,South Camden,Road House,1,1948,
Arkansas,Pine Bluff,Hotel,4,1948,
Arkansas,Pine Bluff,Tourist Home,1,1948,
Arkansas,Pine Bluff,Restaurant,2,1948,
Arkansas,Pine Bluff,Barber Shop,1,1948,
Arkansas,Pine Bluff,Beauty Parlor,1,1948,
Arkansas,Pine Bluff,School of Beauty Culture,2,1948,
Arkansas,Pine Bluff,Service Station,1,1948,
Arkansas,Pine Bluff,Garage,1,1948,
Arkansas,Fordyse,Restaurant,1,1948,
Arkansas,Helena,Service Station,1,1948,
Arkansas,Russellville,Tourist Home,1,1948,
Arkansas,Texarkana,Hotel,1,1948,
Arkansas,Texarkana,Tourist Home,1,1948,
Arkansas,Texarkana,Restaurant,1,1948,
Arkansas,Texarkana,Beauty Parlor,1,1948,
Arkansas,Texarkana,Barber Shop,1,1948,
Arizona,Douglas,Tourist Home,1,1948,
Arizona,Douglas,Restaurant,1,1948,
Arizona,Nogales,Restaurant,1,1948,
Arizona,Phoenix,Hotel,2,1948,
Arizona,Phoenix,Tourist Home,3,1948,
Arizona,Phoenix,Restaurant,3,1948,
Arizona,Phoenix,Beauty Parlor,4,1948,
Arizona,Phoenix,Barber Shop,2,1948,
Arizona,Phoenix,Tavern,1,1948,
Arizona,Phoenix,Night Club,1,1948,
Arizona,Phoenix,Service Station,1,1948,
Arizona,Phoenix,Garage,1,1948,
Arizona,Phoenix,Drug Store,2,1948,
Arizona,Tucson,Restaurant,1,1948,
