State,City,Service,Count,EditionYear,Comments
Alabama,Andalusia,Tourist Home,1,1941,
Alabama,Birmingham,Hotel,4,1941,
Alabama,Decatur,Tourist Home,1,1941,
Alabama,Gadsden,Hotel,1,1941,
Alabama,Gadsden,Tourist Home,3,1941,
Alabama,Geneva,Tourist Home,2,1941,
Alabama,Mobile,Tourist Home,4,1941,
Alabama,Mobile,Beauty Parlor,1,1941,
Alabama,Montgomery,Restaurant,1,1941,
Alabama,Montgomery,Tavern,1,1941,
Alabama,Sheffield,Hotel,1,1941,
Alabama,Sheffield,Tourist Home,1,1941,
Alabama,Troy,Tourist Home,1,1941,
Alabama,Tuscalooso,Tourist Home,4,1941,
Arizona,Nogales,Restaurant,1,1941,
Arizona,Phoenix,Hotel,4,1941,
Arizona,Phoenix,Tourist Home,1,1941,
Arizona,Phoenix,Garage,1,1941,
Arizona,Phoenix,Restaurant,3,1941,
Arizona,Phoenix,Service Station,2,1941,
Arizona,Phoenix,Beauty Parlor,1,1941,
Arizona,Phoenix,Barber Shop,1,1941,
Arizona,Phoenix,Night Club,1,1941,
Arizona,Tucson,Tourist Home,2,1941,
Arizona,Tucson,Restaurant,1,1941,
Arkansas,Arkadelphia,Hotel,2,1941,
Arkansas,Arkadelphia,Tourist Home,3,1941,
Arkansas,Arkadelphia,Restaurant,2,1941,
Arkansas,Arkadelphia,Barber Shop,2,1941,
Arkansas,Brinkley,Tourist Home,1,1941,
Arkansas,El Dorado,Hotel,2,1941,
Arkansas,El Dorado,Tourist Home,2,1941,
Arkansas,El Dorado,Restaurant,1,1941,
Arkansas,El Dorado,Barber Shop,1,1941,
Arkansas,El Dorado,Garage,1,1941,
Arkansas,Fayettevile,Hotel,1,1941,
Arkansas,Fayettevile,Tourist Home,2,1941,
Arkansas,Forth Smith,Hotel,2,1941,
Arkansas,Forth Smith,Tourist Home,1,1941,
Arkansas,Hot Springs,Hotel,3,1941,
Arkansas,Hot Springs,Tourist Home,7,1941,
Arkansas,Hot Springs,Sanitarium,1,1941,
Arkansas,Little Rock,Restaurant,1,1941,
Arkansas,North Little Rock,Restaurant,1,1941,
Arkansas,Pine Bluff,Hotel,3,1941,
Arkansas,Pine Bluff,Tourist Home,2,1941,
Arkansas,Russellville,Tourist Home,2,1941,
Arkansas,Texarkana,Hotel,1,1941,
Arkansas,Texarkana,Tourist Home,1,1941,
