State,City,Service,Count,EditionYear,Comments
Alabama,Andalusia,Hotel,1,1940,
Alabama,Andalusia,Tourist Home,1,1940,
Alabama,Birmingham,Hotel,4,1940,
Alabama,Birmingham,Tavern,1,1940,
Alabama,Decatur,Tourist Home,1,1940,
Alabama,Gadsden,Hotel,1,1940,
Alabama,Gadsden,Tourist Home,3,1940,
Alabama,Geneva,Turist Home,3,1940,
Alabama,Mobile,Tourist Home,4,1940,
Alabama,Mobile,Beauty Parlor,1,1940,
Alabama,Sheffileld,Hotel,1,1940,
Alabama,Sheffileld,Tourist Home,1,1940,
Alabama,Troy,Tourist Home,2,1940,
Alabama,Tuscalooso,Tourist Home,4,1940,
Arizona,Nogales,Restaurant,1,1940,
Arizona,Phoenix,Hotel,5,1940,
Arizona,Phoenix,Tourist Home,1,1940,
Arizona,Phoenix,Garage,1,1940,
Arizona,Phoenix,Restaurant,3,1940,
Arizona,Phoenix,Service Station,2,1940,
Arizona,Phoenix,Beauty Parlor,1,1940,
Arizona,Phoenix,Barber Shop,1,1940,
Arizona,Phoenix,Night Club,1,1940,
Arizona,Tucson,Tourist Home,1,1940,
Arizona,Tucson,Restaurant,1,1940,
Arizona,Tucson,Service Station,1,1940,
Arkansas,Arkadelphia,Hotel,2,1940,
Arkansas,Arkadelphia,Tourist Home,4,1940,
Arkansas,Arkadelphia,Restaurant,3,1940,
Arkansas,Arkadelphia,Barber Shop,2,1940,
Arkansas,El Dorado,Hotel,2,1940,
Arkansas,El Dorado,Tourist Home,2,1940,
Arkansas,Fayetteville,Hotel,1,1940,
Arkansas,Fayetteville,Tourist Home,2,1940,
Arkansas,Fort Smith,Hotel,1,1940,
Arkansas,Fort Smith,Tourist Home,1,1940,
Arkansas,Helena,Tourist Home,2,1940,
Arkansas,Hot Springs,Hotel,4,1940,
Arkansas,Hot Springs,Tourist Home,7,1940,
Arkansas,Hot Springs,Sanitarium,1,1940,
Arkansas,Little Rock,Hotel,2,1940,
Arkansas,Little Rock,Tourist Home,1,1940,
Arkansas,Pine Bluff,Hotel,3,1940,
Arkansas,Pine Bluff,Tourist Home,2,1940,
Arkansas,Russelville,Tourist Home,2,1940,
Arkansas,Texarkana,Hotel,2,1940,
Arkansas,Texarkana,Tourist Home,2,1940,
Arkansas,Texarkana,Restaurant,1,1940,
Arkansas,Texarkana,Service Station,1,1940,
Arkansas,Texarkana,Beauty Parlor,1,1940,
Arkansas,Texarkana,Barber Shop,1,1940,
California,Berkley,Tavern,1,1940,
California,Berkley,Beauty Parlor,1,1940,
California,Berkley,Barber Shop,1,1940,
California,El Centro,Hotel,1,1940,
California,El Centro,Tourist Home,2,1940,
California,El Centro,Restaurant,1,1940,
California,Fresno,Trailer Park,1,1940,
California,Los Angeles,Hotel,9,1940,
California,Los Angeles,Tourist Home,3,1940,
California,Los Angeles,Service Station,2,1940,
California,Los Angeles,Tavern,1,1940,
California,Los Angeles,Beauty Parlor,1,1940,
California,Los Angeles,Liquor Store,1,1940,
California,Oakland,Tourist Home,2,1940,
California,Oakland,Service Station,3,1940,
California,Oakland,Garage,1,1940,
California,Oakland,Tavern,1,1940,
California,Oakland,Beauty Parlor,1,1940,
California,Pasadena,Tavern,1,1940,
California,Pasadena,Service Station,1,1940,
California,San Bernardino,Tourist Home,2,1940,
California,San Diego,Hotel,2,1940,
California,San Diego,Tourist Home,3,1940,
California,San Diego,Restaurant,1,1940,
California,San Francisco,Hotel,1,1940,
California,San Francisco,Tourist Home,4,1940,
California,San Francisco,Tavern,1,1940,
California,San Francisco,Beauty Parlor,3,1940,
California,San Francisco,Drug Store,1,1940,
California,San Francisco,Night Club,1,1940,
